cod_manzana,municipio,area_m2,impermeabilizacion,categoria_urbana,densidad_construida
0504520020500200010110,Apartadó,1421,0.95,urbano_denso,0.6517
0504520010301100010115,Apartadó,935,0.95,urbano_denso,0.6937
0504520010301100010227,Apartadó,1808,0.95,urbano_denso,0.6275
0504520010101400010108,Apartadó,4473,0.8,urbano_denso,0.5367
0505110000000000010139,Arboletes,1774,0.95,urbano_denso,0.6295
0505110000000000010531,Arboletes,6471,0.6,urbano_medio,0.4997
0505110000000000010538,Arboletes,11465,0.6,urbano_medio,0.4423
0514710000000000020412,Carepa,1596,0.95,urbano_denso,0.64
0549020120301300010103,Necoclí,4078,0.8,urbano_denso,0.546
0565910000000000010103,San Juan de Urabá,8161,0.6,urbano_medio,0.4764
0565920010100100010125,San Juan de Urabá,1637,0.95,urbano_denso,0.6375
0566510000000000010158,San Pedro de Urabá,33302,0.35,urbano_medio,0.3354
0566510000000000010201,San Pedro de Urabá,20108,0.35,urbano_medio,0.386
0566510000000000010824,San Pedro de Urabá,3144,0.8,urbano_denso,0.5721
0566510000000000010866,San Pedro de Urabá,23492,0.35,urbano_medio,0.3704
0566510000000000010907,San Pedro de Urabá,12619,0.6,urbano_medio,0.4327
0583720090700100010417,Turbo,2751,0.8,urbano_denso,0.5855
0583720090600300010344,Turbo,8771,0.6,urbano_medio,0.4692
0583720080301000010109,Turbo,7830,0.6,urbano_medio,0.4806
0583720020101300010122,Turbo,21110,0.35,urbano_medio,0.3811
0583720050202800010107,Turbo,12427,0.6,urbano_medio,0.4342
0583720030802900010113,Turbo,6240,0.6,urbano_medio,0.5033
0583720090603100010108,Turbo,4522,0.8,urbano_denso,0.5356
0583720090103900010112,Turbo,2418,0.8,urbano_denso,0.5984
0583720100700200020108,Turbo,2328,0.8,urbano_denso,0.6022
0583720100700200020205,Turbo,443,0.95,urbano_denso,0.7685
0504520020500200010121,Apartadó,815,0.95,urbano_denso,0.7074
0504520020300900010117,Apartadó,1996,0.95,urbano_denso,0.6176
0505110000000000011003,Arboletes,3103,0.8,urbano_denso,0.5734
0505110000000000011114,Arboletes,1791,0.95,urbano_denso,0.6285
0505120030200900010106,Arboletes,9970,0.6,urbano_medio,0.4563
0505120040101000010106,Arboletes,2895,0.8,urbano_denso,0.5803
0505120030101100010132,Arboletes,3060,0.8,urbano_denso,0.5748
0514710000000000010221,Carepa,424,0.95,urbano_denso,0.7728
0549010000000000010436,Necoclí,4042,0.8,urbano_denso,0.5469
0549020120100700010110,Necoclí,5267,0.6,urbano_medio,0.5203
