cod_manzana,municipio,proxy_luminosidad,luminosidad_quintil
0504520020500200010110,Apartadó,0.3455079095326827,2
0504520010301100010115,Apartadó,0.39365514149550784,2
0504520010301100010227,Apartadó,0.3368080446424223,2
0504520010101400010108,Apartadó,0.27696837410108566,1
0505110000000000010139,Arboletes,0.48243347115082347,5
0505110000000000010531,Arboletes,0.3717679263724219,3
0505110000000000010538,Arboletes,0.26005352568892887,2
0514710000000000020412,Carepa,0.3443288438316555,4
0549020120301300010103,Necoclí,0.2860587497369824,3
0565910000000000010103,San Juan de Urabá,0.23690566531916066,2
0565920010100100010125,San Juan de Urabá,0.3408184280520036,4
0566510000000000010158,San Pedro de Urabá,0.0922080277804737,1
0566510000000000010201,San Pedro de Urabá,0.0922080277804737,1
0566510000000000010824,San Pedro de Urabá,0.39908620140876494,5
0566510000000000010866,San Pedro de Urabá,0.0922080277804737,1
0566510000000000010907,San Pedro de Urabá,0.10776846537072113,1
0583720090700100010417,Turbo,0.31565961567917217,2
0583720090600300010344,Turbo,0.18053413228178047,1
0583720080301000010109,Turbo,0.20173108191414385,1
0583720020101300010122,Turbo,0.0,1
0583720050202800010107,Turbo,0.09865075551380048,1
0583720030802900010113,Turbo,0.23747570368108573,1
0583720090603100010108,Turbo,0.2759107919161633,2
0583720090103900010112,Turbo,0.3231902540989456,3
0583720100700200020108,Turbo,0.3251454392402953,3
0583720100700200020205,Turbo,0.36749053178985636,4
0504520020500200010121,Apartadó,0.3591258824644604,2
0504520020300900010117,Apartadó,0.3325702841733174,1
0505110000000000011003,Arboletes,0.45269550800473574,4
0505110000000000011114,Arboletes,0.48205417453199073,4
0505120030200900010106,Arboletes,0.15419120175527729,1
0505120040101000010106,Arboletes,0.31258624740886864,2
0505120030101100010132,Arboletes,0.30890979077509,2
0514710000000000010221,Carepa,0.3706877871065183,5
0549010000000000010436,Necoclí,0.3372255615548137,4
0549020120100700010110,Necoclí,0.2594461885227208,2
0566510000000000010867,San Pedro de Urabá,0.40085651938558503,5
0583720100700200010503,Turbo,0.32957141254800326,3
0583720100400800010114,Turbo,0.3092527248559981,2
0583720090603100010111,Turbo,0.36625508654813094,4
0583720050603700010101,Turbo,0.2656000678320468,1
0514710000000000010410,Carepa,0.28831110984079417,1
0549020050300500010101,Necoclí,0.2428077659416031,2
0565910000000000010312,San Juan de Urabá,0.36086441207310804,5
0566510000000000010738,San Pedro de Urabá,0.013508290098386224,1
0514710000000000010323,Carepa,0.16434033967916747,1
0514710000000000010516,Carepa,0.3103659789776717,2
0514710000000000020214,Carepa,0.33876173712923174,3
0514710000000000020426,Carepa,0.2626110342027526,1
0514710000000000020430,Carepa,0.3672010142610748,5
0514710000000000020507,Carepa,0.31691599374691054,2
0514720011001000010101,Carepa,0.3506455627732372,4
0514720011001000010110,Carepa,0.33384769404881515,2
0517210000000000010217,Chigorodó,0.3354110054893956,3
0517210000000000010514,Chigorodó,0.32640081335143556,2
0517210000000000010526,Chigorodó,0.28199740317178895,1
0517210000000000020312,Chigorodó,0.2953396784158685,1
0517210000000000030207,Chigorodó,0.26899315295712306,1
0517210000000000050108,Chigorodó,0.2945383118526964,1
0517210000000000050519,Chigorodó,0.28545451430417107,1
0517210000000000050704,Chigorodó,0.33339933828620494,3
0517210000000000060407,Chigorodó,0.32258634628854294,2
0517210000000000060710,Chigorodó,0.3350861508148859,3
0517210000000000060739,Chigorodó,0.029448629375464205,1
0517210000000000060904,Chigorodó,0.3421704655720394,3
0549020030200400010122,Necoclí,0.23341720217098133,2
0565910000000000010104,San Juan de Urabá,0.24802854803640925,2
0566510000000000011008,San Pedro de Urabá,0.31184736728673157,3
0583720110201800010317,Turbo,0.3297687318212341,3
0583720110201800010331,Turbo,0.2995954034684309,2
0504520020300900010209,Apartadó,0.3018584595155023,1
0504520020300900010212,Apartadó,0.33933127297187476,2
0504520010301100010216,Apartadó,0.2572074355414104,1
0505110000000000010119,Arboletes,0.3854032752369733,3
0505110000000000010215,Arboletes,0.4394393614723555,4
0505120020500300010102,Arboletes,0.13830078015008074,1
0514710000000000020510,Carepa,0.3287525975843596,2
0549010000000000010102,Necoclí,0.16017361232981991,1
0549010000000000010224,Necoclí,0.30118206072364234,3
0549020050300500010208,Necoclí,0.30638288688784576,3
0549020050300500010218,Necoclí,0.36210131890121355,5
0549020120600600010110,Necoclí,0.29763204249746206,3
0565910000000000010206,San Juan de Urabá,0.20997303782963272,1
