cod_manzana,municipio,dist_salud_m,score_salud,dist_educ_m,score_educacion,dist_via_m,score_via,dist_finca_m,en_finca,score_economia
0504520020500200010110,Apartadó,3728.0,0.25,314.0,0.8,2284.0,0.45,752.0,0,0.55
0504520010301100010115,Apartadó,1248.0,0.5,36.0,1.0,733.0,0.7,357.0,0,0.55
0504520010301100010227,Apartadó,1614.0,0.5,412.0,0.8,390.0,0.7,471.0,0,0.55
0504520010101400010108,Apartadó,10978.0,0.05,136.0,1.0,3808.0,0.2,932.0,0,0.55
0505110000000000010139,Arboletes,266.0,0.85,433.0,0.8,85216.0,0.05,87945.0,0,0.15
0505110000000000010531,Arboletes,652.0,0.7,1000.0,0.6,84457.0,0.05,86979.0,0,0.15
0505110000000000010538,Arboletes,627.0,0.7,992.0,0.6,84399.0,0.05,86933.0,0,0.15
0514710000000000020412,Carepa,540.0,0.7,248.0,1.0,638.0,0.7,1650.0,0,0.35
0549020120301300010103,Necoclí,34069.0,0.05,687.0,0.8,37645.0,0.05,36627.0,0,0.15
0565910000000000010103,San Juan de Urabá,242.0,0.85,242.0,1.0,72854.0,0.05,73817.0,0,0.15
0565920010100100010125,San Juan de Urabá,8723.0,0.05,8723.0,0.05,70482.0,0.05,69720.0,0,0.15
0566510000000000010158,San Pedro de Urabá,445.0,0.85,325.0,0.8,30218.0,0.05,39705.0,0,0.15
0566510000000000010201,San Pedro de Urabá,254.0,0.85,172.0,1.0,29544.0,0.05,39021.0,0,0.15
0566510000000000010824,San Pedro de Urabá,509.0,0.7,219.0,1.0,29948.0,0.05,39348.0,0,0.15
0566510000000000010866,San Pedro de Urabá,487.0,0.85,95.0,1.0,29808.0,0.05,39196.0,0,0.15
0566510000000000010907,San Pedro de Urabá,558.0,0.7,145.0,1.0,30017.0,0.05,39550.0,0,0.15
0583720090700100010417,Turbo,675.0,0.7,893.0,0.6,663.0,0.7,249.0,0,0.55
0583720090600300010344,Turbo,6742.0,0.05,943.0,0.6,317.0,0.7,3171.0,0,0.15
0583720080301000010109,Turbo,5998.0,0.05,96.0,1.0,3047.0,0.2,4135.0,0,0.15
0583720020101300010122,Turbo,15694.0,0.05,432.0,0.8,30975.0,0.05,37829.0,0,0.15
0583720050202800010107,Turbo,12620.0,0.05,85.0,1.0,20317.0,0.05,28436.0,0,0.15
0583720030802900010113,Turbo,10114.0,0.05,107.0,1.0,10370.0,0.05,6522.0,0,0.15
0583720090603100010108,Turbo,4437.0,0.25,1083.0,0.6,1039.0,0.45,1224.0,0,0.35
0583720090103900010112,Turbo,4115.0,0.25,1343.0,0.6,4314.0,0.2,1915.0,0,0.35
0583720100700200020108,Turbo,9763.0,0.05,290.0,1.0,136.0,0.9,977.0,0,0.55
0583720100700200020205,Turbo,9708.0,0.05,186.0,1.0,424.0,0.7,918.0,0,0.55
0504520020500200010121,Apartadó,3864.0,0.25,358.0,0.8,2364.0,0.45,576.0,0,0.55
0504520020300900010117,Apartadó,5591.0,0.05,177.0,1.0,278.0,0.9,791.0,0,0.55
0505110000000000011003,Arboletes,51.0,1.0,351.0,0.8,84763.0,0.05,87393.0,0,0.15
0505110000000000011114,Arboletes,753.0,0.7,743.0,0.6,84099.0,0.05,86807.0,0,0.15
0505120030200900010106,Arboletes,15005.0,0.05,14909.0,0.05,58248.0,0.05,60572.0,0,0.15
0505120040101000010106,Arboletes,22282.0,0.05,9348.0,0.05,55175.0,0.05,59899.0,0,0.15
0505120030101100010132,Arboletes,14604.0,0.05,14604.0,0.05,62560.0,0.05,66171.0,0,0.15
0514710000000000010221,Carepa,1215.0,0.5,231.0,1.0,212.0,0.9,736.0,0,0.55
0549010000000000010436,Necoclí,36671.0,0.05,94.0,1.0,36929.0,0.05,33052.0,0,0.15
0549020120100700010110,Necoclí,35080.0,0.05,1450.0,0.6,35352.0,0.05,31437.0,0,0.15
