cod_manzana,municipio,indice_conectividad,categoria_aislamiento,dist_rio_m
0504520020500200010110,Apartadó,0.5375,semi_aislado,481.0
0504520010301100010115,Apartadó,0.74,conectividad_media,144.0
0504520010301100010227,Apartadó,0.7,conectividad_media,250.0
0504520010101400010108,Apartadó,0.4275,semi_aislado,54.0
0505110000000000010139,Arboletes,0.4375,semi_aislado,84756.0
0505110000000000010531,Arboletes,0.36,semi_aislado,84055.0
0505110000000000010538,Arboletes,0.36,semi_aislado,83994.0
0514710000000000020412,Carepa,0.79,bien_conectado,94.0
0549020120301300010103,Necoclí,0.2375,aislado_critico,37886.0
0565910000000000010103,San Juan de Urabá,0.4775,semi_aislado,72924.0
0565920010100100010125,San Juan de Urabá,0.0875,aislado_critico,70931.0
0566510000000000010158,San Pedro de Urabá,0.4375,semi_aislado,23975.0
0566510000000000010201,San Pedro de Urabá,0.4775,semi_aislado,23379.0
0566510000000000010824,San Pedro de Urabá,0.44,semi_aislado,23994.0
0566510000000000010866,San Pedro de Urabá,0.4775,semi_aislado,23900.0
0566510000000000010907,San Pedro de Urabá,0.44,semi_aislado,23636.0
0583720090700100010417,Turbo,0.71,conectividad_media,382.0
0583720090600300010344,Turbo,0.5475,semi_aislado,188.0
0583720080301000010109,Turbo,0.3675,semi_aislado,3013.0
0583720020101300010122,Turbo,0.2375,aislado_critico,30002.0
0583720050202800010107,Turbo,0.2775,aislado_critico,18554.0
0583720030802900010113,Turbo,0.2775,aislado_critico,10063.0
0583720090603100010108,Turbo,0.4975,semi_aislado,45.0
0583720090103900010112,Turbo,0.3375,aislado_critico,4219.0
0583720100700200020108,Turbo,0.6775,conectividad_media,1083.0
0583720100700200020205,Turbo,0.5975,conectividad_media,1388.0
0504520020500200010121,Apartadó,0.5075,semi_aislado,509.0
0504520020300900010117,Apartadó,0.6475,conectividad_media,2488.0
0505110000000000011003,Arboletes,0.475,semi_aislado,84331.0
0505110000000000011114,Arboletes,0.36,semi_aislado,83650.0
0505120030200900010106,Arboletes,0.0875,aislado_critico,58097.0
0505120040101000010106,Arboletes,0.0875,aislado_critico,54265.0
0505120030101100010132,Arboletes,0.0875,aislado_critico,62026.0
0514710000000000010221,Carepa,0.82,bien_conectado,332.0
0549010000000000010436,Necoclí,0.2775,aislado_critico,36522.0
0549020120100700010110,Necoclí,0.1975,aislado_critico,35052.0
0566510000000000010867,San Pedro de Urabá,0.4775,semi_aislado,23907.0
0583720100700200010503,Turbo,0.6775,conectividad_media,1288.0
0583720100400800010114,Turbo,0.6375,conectividad_media,83.0
0583720090603100010111,Turbo,0.5975,conectividad_media,44.0
