cod_manzana,municipio,min_salud,min_educacion,min_via,min_puerto,score_tiempo_salud,score_tiempo_educ,score_tiempo_puerto
0504520020500200010110,Apartadó,14.9,1.3,9.1,30.1,0.85,1.0,0.4
0504520010301100010115,Apartadó,5.0,0.1,2.9,41.7,1.0,1.0,0.4
0504520010301100010227,Apartadó,6.5,1.6,1.6,40.0,0.85,1.0,0.4
0504520010101400010108,Apartadó,43.9,0.5,15.2,40.2,0.4,1.0,0.4
0505110000000000010139,Arboletes,1.1,1.7,340.9,484.0,1.0,1.0,0.15
0505110000000000010531,Arboletes,1.6,2.4,202.7,288.4,1.0,1.0,0.15
0505110000000000010538,Arboletes,1.5,2.4,202.6,288.3,1.0,1.0,0.15
0514710000000000020412,Carepa,2.2,1.0,2.6,42.1,1.0,1.0,0.4
0549020120301300010103,Necoclí,136.3,2.7,150.6,284.5,0.15,1.0,0.15
0565910000000000010103,San Juan de Urabá,0.6,0.6,174.8,258.9,1.0,1.0,0.15
0565920010100100010125,San Juan de Urabá,34.9,34.9,281.9,418.0,0.4,0.4,0.15
0566510000000000010158,San Pedro de Urabá,1.1,0.8,72.5,154.2,1.0,1.0,0.15
0566510000000000010201,San Pedro de Urabá,0.6,0.4,70.9,152.7,1.0,1.0,0.15
0566510000000000010824,San Pedro de Urabá,2.0,0.9,119.8,256.9,1.0,1.0,0.15
0566510000000000010866,San Pedro de Urabá,1.2,0.2,71.5,153.9,1.0,1.0,0.15
0566510000000000010907,San Pedro de Urabá,1.3,0.3,72.0,153.4,1.0,1.0,0.15
0583720090700100010417,Turbo,2.7,3.6,2.7,86.4,1.0,1.0,0.15
0583720090600300010344,Turbo,16.2,2.3,0.8,65.7,0.65,1.0,0.15
0583720080301000010109,Turbo,14.4,0.2,7.3,84.2,0.85,1.0,0.15
0583720020101300010122,Turbo,37.7,1.0,74.3,161.2,0.4,1.0,0.15
0583720050202800010107,Turbo,30.3,0.2,48.8,135.3,0.4,1.0,0.15
0583720030802900010113,Turbo,24.3,0.3,24.9,100.3,0.65,1.0,0.15
0583720090603100010108,Turbo,17.7,4.3,4.2,99.9,0.65,1.0,0.15
0583720090103900010112,Turbo,16.5,5.4,17.3,141.9,0.65,0.85,0.15
0583720100700200020108,Turbo,39.1,1.2,0.5,51.4,0.4,1.0,0.4
0583720100700200020205,Turbo,38.8,0.7,1.7,53.4,0.4,1.0,0.4
0504520020500200010121,Apartadó,15.5,1.4,9.5,30.0,0.65,1.0,0.65
0504520020300900010117,Apartadó,22.4,0.7,1.1,29.3,0.65,1.0,0.65
0505110000000000011003,Arboletes,0.2,1.4,339.1,482.0,1.0,1.0,0.15
0505110000000000011114,Arboletes,3.0,3.0,336.4,479.5,1.0,1.0,0.15
0505120030200900010106,Arboletes,36.0,35.8,139.8,225.0,0.4,0.4,0.15
0505120040101000010106,Arboletes,89.1,37.4,220.7,365.1,0.15,0.4,0.15
0505120030101100010132,Arboletes,58.4,58.4,250.2,393.9,0.4,0.4,0.15
0514710000000000010221,Carepa,4.9,0.9,0.8,36.7,1.0,1.0,0.4
0549010000000000010436,Necoclí,146.7,0.4,147.7,273.3,0.15,1.0,0.15
0549020120100700010110,Necoclí,84.2,3.5,84.8,160.4,0.15,1.0,0.15
0566510000000000010867,San Pedro de Urabá,1.7,0.8,119.4,256.5,1.0,1.0,0.15
0583720100700200010503,Turbo,39.8,0.7,0.4,52.7,0.4,1.0,0.4
0583720100400800010114,Turbo,17.2,1.3,1.7,65.1,0.65,1.0,0.15
0583720090603100010111,Turbo,17.5,4.3,4.0,99.8,0.65,1.0,0.15
0583720050603700010101,Turbo,53.4,14.9,65.8,207.6,0.4,0.85,0.15
0514710000000000010410,Carepa,3.9,0.6,0.5,38.0,1.0,1.0,0.4
0549020050300500010101,Necoclí,78.3,2.7,107.3,185.5,0.15,1.0,0.15
0565910000000000010312,San Juan de Urabá,0.3,0.3,292.5,432.7,1.0,1.0,0.15
0566510000000000010738,San Pedro de Urabá,1.4,0.1,71.7,153.0,1.0,1.0,0.15
0514710000000000010323,Carepa,2.9,0.5,0.4,22.1,1.0,1.0,0.65
0514710000000000010516,Carepa,3.2,0.3,1.9,40.2,1.0,1.0,0.4
0514710000000000020214,Carepa,4.6,1.7,4.5,42.6,1.0,1.0,0.4
0514710000000000020426,Carepa,0.6,0.9,0.8,24.8,1.0,1.0,0.65
0514710000000000020430,Carepa,2.5,0.7,2.9,42.2,1.0,1.0,0.4
0514710000000000020507,Carepa,1.0,1.0,1.6,42.1,1.0,1.0,0.4
0514720011001000010101,Carepa,18.1,3.5,1.5,32.6,0.65,1.0,0.4
0514720011001000010110,Carepa,17.6,3.0,1.7,33.0,0.65,1.0,0.4
0517210000000000010217,Chigorodó,40.7,0.4,4.6,68.9,0.4,1.0,0.15
0517210000000000010514,Chigorodó,38.9,0.2,3.0,67.7,0.4,1.0,0.15
0517210000000000010526,Chigorodó,24.9,1.0,2.0,42.6,0.65,1.0,0.4
0517210000000000020312,Chigorodó,39.4,0.6,1.0,69.8,0.4,1.0,0.15
0517210000000000030207,Chigorodó,23.0,0.3,0.6,41.1,0.65,1.0,0.4
0517210000000000050108,Chigorodó,37.8,0.4,0.9,68.8,0.4,1.0,0.15
0517210000000000050519,Chigorodó,23.4,0.2,0.6,42.2,0.65,1.0,0.4
0517210000000000050704,Chigorodó,38.6,1.6,2.0,71.3,0.4,1.0,0.15
0517210000000000060407,Chigorodó,41.0,1.2,2.2,71.5,0.4,1.0,0.15
0517210000000000060710,Chigorodó,42.5,0.8,2.4,74.2,0.4,1.0,0.15
0517210000000000060739,Chigorodó,25.2,0.4,1.5,44.6,0.65,1.0,0.4
0517210000000000060904,Chigorodó,42.7,1.1,2.9,73.7,0.4,1.0,0.15
0549020030200400010122,Necoclí,35.0,35.0,153.2,233.7,0.4,0.4,0.15
