cod_manzana,min_ips,min_colegio,min_cabecera,min_puerto,metodo
0504520020500200010110,9.5,9.2,12.6,43.7,osrm_real
0504520010301100010115,4.7,5.4,6.8,40.5,osrm_real
0504520010301100010227,6.1,6.8,8.2,41.7,osrm_real
0504520010101400010108,47.3,47.2,47.9,75.9,osrm_real
0505110000000000010139,0.7,1.2,1.5,111.1,osrm_real
0505110000000000010531,1.6,1.5,2.1,109.3,osrm_real
0505110000000000010538,1.7,1.6,2.2,109.2,osrm_real
0514710000000000020412,2.1,11.0,1.4,52.4,osrm_real
0549020120301300010103,73.3,49.2,10.2,76.2,osrm_real
0565910000000000010103,0.9,0.9,0.9,97.9,osrm_real
0565920010100100010125,11.7,11.7,12.5,94.9,osrm_real
0566510000000000010158,1.1,1.9,1.4,139.9,osrm_real
0566510000000000010201,0.6,1.1,0.7,139.2,osrm_real
0566510000000000010824,1.3,1.3,1.5,138.8,osrm_real
0566510000000000010866,1.0,1.0,1.5,138.0,osrm_real
0566510000000000010907,1.0,1.8,1.4,139.9,osrm_real
0583720090700100010417,1.9,14.8,18.5,28.2,osrm_real
0583720090600300010344,6.6,10.7,13.1,22.8,osrm_real
0583720080301000010109,8.8,8.8,10.3,19.2,osrm_real
0583720020101300010122,27.2,0.8,102.1,110.9,osrm_real
0583720050202800010107,38.2,38.2,162.9,171.8,osrm_real
0583720030802900010113,15.4,15.4,17.5,26.3,osrm_real
0583720090603100010108,7.3,17.6,20.0,29.7,osrm_real
0583720090103900010112,8.8,8.8,10.9,19.7,osrm_real
0583720100700200020108,23.1,23.1,42.1,51.8,osrm_real
0583720100700200020205,22.9,22.9,41.9,51.6,osrm_real
0504520020500200010121,10.0,9.7,13.1,44.2,osrm_real
0504520020300900010117,7.6,4.1,11.6,46.2,osrm_real
0505110000000000011003,0.2,0.9,1.4,110.3,osrm_real
0505110000000000011114,1.8,1.8,1.4,110.1,osrm_real
0505120030200900010106,50.5,50.5,60.9,117.7,osrm_real
0505120040101000010106,68.4,68.4,68.0,141.7,osrm_real
0505120030101100010132,46.2,46.2,47.3,127.1,osrm_real
0514710000000000010221,2.6,7.5,2.3,48.9,osrm_real
0549010000000000010436,43.0,43.1,25.3,54.0,osrm_real
0549020120100700010110,39.9,40.0,22.0,50.9,osrm_real
0566510000000000010867,1.0,1.0,1.3,138.4,osrm_real
0583720100700200010503,23.3,23.3,42.3,52.0,osrm_real
0583720100400800010114,7.0,7.2,26.2,35.9,osrm_real
0583720090603100010111,7.4,17.7,20.1,29.8,osrm_real
0583720050603700010101,18.0,18.0,142.8,151.6,osrm_real
0514710000000000010410,2.4,8.1,2.0,49.5,osrm_real
0549020050300500010101,43.9,43.9,48.8,77.6,osrm_real
0565910000000000010312,0.2,0.2,1.0,97.9,osrm_real
0566510000000000010738,1.3,2.1,1.7,140.2,osrm_real
0514710000000000010323,2.8,7.9,2.5,49.3,osrm_real
0514710000000000010516,2.9,9.8,1.1,51.2,osrm_real
0514710000000000020214,4.3,11.5,2.6,52.9,osrm_real
0514710000000000020426,1.1,10.0,0.8,51.4,osrm_real
0514710000000000020430,2.3,11.2,1.6,52.6,osrm_real
0514710000000000020507,1.4,10.7,1.7,52.1,osrm_real
0514720011001000010101,6.9,6.3,6.6,48.2,osrm_real
0514720011001000010110,6.7,6.1,6.4,48.0,osrm_real
0517210000000000010217,12.4,37.2,2.8,59.8,osrm_real
0517210000000000010514,10.9,35.7,2.9,58.3,osrm_real
