cod_manzana,ndbi,lst_c,viirs_rad
0504520020500200010110,0.10355,39.7526,2.605
0504520010301100010115,-0.03127,37.73426,4.295
0504520010301100010227,-0.05788,38.75112,2.67
0504520010101400010108,-0.1816,34.04964,0.9
0505110000000000010139,-0.0527,39.01602,17.165
0505110000000000010531,-0.04667,37.99745,13.745
0505110000000000010538,-0.07,38.98184,13.745
0514710000000000020412,0.24714,48.49761,17.3
0549020120301300010103,-0.06099,39.28263,0.76
0565910000000000010103,0.06907,39.6757,5.55
0565920010100100010125,0.0431,38.9545,0.945
0566510000000000010158,-0.10425,38.67764,8.705
0566510000000000010201,-0.10716,37.08484,14.99
0566510000000000010824,0.1427,40.75237,7.545
0566510000000000010866,-0.13339,37.0199,7.545
0566510000000000010907,-0.0154,39.05875,15.27
0583720090700100010417,0.06213,42.37764,5.545
0583720090600300010344,0.01158,38.0829,2.13
0583720080301000010109,-0.04261,38.10683,2.685
0583720020101300010122,-0.07818,39.12711,1.555
0583720050202800010107,-0.09428,35.5604,0.425
0583720030802900010113,-0.09445,32.36455,1.305
0583720090603100010108,-0.16656,35.31431,1.345
0583720090103900010112,-0.09406,36.23375,1.62
0583720100700200020108,0.14555,37.74452,12.175
0583720100700200020205,0.13424,41.06,10.215
0504520020500200010121,-0.15729,36.70202,1.79
0504520020300900010117,0.19481,45.62647,6.03
0505110000000000011003,0.06582,41.17279,23.205
0505110000000000011114,0.07768,42.50582,12.76
0505120030200900010106,-0.01166,,1.27
0505120040101000010106,0.04821,39.90812,1.04
0505120030101100010132,0.02588,38.0077,0.79
0514710000000000010221,-0.13788,46.23659,5.215
0549010000000000010436,0.12598,,7.4
0549020120100700010110,0.02633,39.88762,1.54
0566510000000000010867,-0.03048,39.9423,7.545
0583720100700200010503,0.1738,39.39371,12.175
0583720100400800010114,0.16571,42.52804,4.015
0583720090603100010111,0.01874,35.15195,1.345
0583720050603700010101,-0.20952,36.04918,0.635
0514710000000000010410,0.27651,49.42731,13.76
0549020050300500010101,-0.06803,38.09486,0.85
0565910000000000010312,0.10415,39.56632,9.155
0566510000000000010738,-0.02658,39.33731,10.41
0514710000000000010323,0.163,46.11696,5.215
0514710000000000010516,0.28674,46.56301,12.58
0514710000000000020214,0.1155,43.79099,9.59
0514710000000000020426,0.00334,44.99072,20.15
0514710000000000020430,-0.05465,44.84033,17.3
0514710000000000020507,0.17432,45.02319,15.54
0514720011001000010101,-0.02779,37.59071,4.51
0514720011001000010110,0.16406,40.97796,3.01
0517210000000000010217,0.20355,42.53316,5.755
0517210000000000010514,0.12455,44.66259,13.85
0517210000000000010526,0.07588,45.50171,9.055
0517210000000000020312,0.19745,47.61234,20.63
0517210000000000030207,0.18651,49.03253,15.265
0517210000000000050108,0.24594,47.89775,12.825
0517210000000000050519,0.20442,49.32819,20.63
0517210000000000050704,0.1884,44.88989,8.38
0517210000000000060407,0.1972,49.63239,11.315
0517210000000000060710,0.17025,46.63308,8.68
0517210000000000060739,-0.04043,42.90231,6.08
0517210000000000060904,0.2037,47.9268,10.245
0549020030200400010122,-0.08376,36.42174,0.675
0565910000000000010104,0.08492,40.3593,5.55
0566510000000000011008,-0.03686,40.62933,3.36
0583720110201800010317,-0.04781,36.65759,0.72
0583720110201800010331,-0.02008,38.18202,0.94
0504520020300900010209,0.15387,40.36272,2.615
0504520020300900010212,0.18166,43.72947,6.03
0504520010301100010216,-0.12739,38.49648,2.67
0505110000000000010119,0.00595,40.48577,16.955
0505110000000000010215,0.17689,42.86813,17.165
0505120020500300010102,-0.10716,,1.555
0514710000000000020510,0.22564,45.94606,15.54
0549010000000000010102,-0.11049,29.61988,8.395
0549010000000000010224,0.12854,,7.4
0549020050300500010208,-0.05525,42.32808,0.82
0549020050300500010218,-0.12434,37.0199,0.82
0549020120600600010110,-0.1113,35.54673,1.425
0565910000000000010206,0.07597,41.78462,10.23
0565910000000000010216,0.09682,41.28559,5.55
0565910000000000010509,0.05472,39.31339,4.28
0565920020300400010103,-0.10254,35.44419,0.58
0565920010200600010104,-0.06529,,1.13
0566510000000000010662,0.01648,42.95358,11.325
0566510000000000010725,0.05099,39.3527,10.41
0566510000000000010840,-0.02966,41.82051,9.63
0583720090700100010115,0.14024,46.41603,5.175
0583720090700100010139,0.03024,41.5163,5.175
0583720090700100010141,-0.08242,40.08073,3.555
0583720090700100020231,0.18553,44.84374,7.15
0583720100700200020512,0.13801,38.32045,12.86
0583720090600300010105,0.07737,42.20332,4.665
0583720090600300010312,0.07556,41.30439,4.29
0504520030101500010112,0.12341,38.98526,4.085
0504520020300900010226,-0.04717,43.01169,6.03
0505110000000000011016,0.18582,45.12402,12.76
0505120030101100010135,-0.06595,37.51893,0.79
0505120030101100010136,0.0672,37.64539,0.79
0514710000000000020105,0.1032,43.65427,6.06
0549010000000000010811,0.18489,,5.48
0565920010300300010127,-0.12879,36.05943,2.725
0566510000000000030103,-0.10277,35.54331,4.415
0566520040200800010101,-0.0524,,1.29
0583720100400800010111,0.06234,42.31441,4.015
0514710000000000010132,-0.17975,37.97694,5.175
0514710000000000010621,0.07232,43.46799,4.115
0514710000000000010726,-0.06918,43.0527,17.3
0514710000000000020909,0.06379,,5.965
0514710000000000030101,0.08123,42.64596,15.21
0514710000000000030639,0.0399,40.87201,4.935
0517210000000000010121,0.0688,40.82586,3.27
